Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	165	n/a	0	0	n/a	N	0	00	137	71.5	31.3	0.54	0.60	21890	112	n/a	10712	136	n/a	170	136	n/a	209	136	n/a	
2	2325	n/a	0	0	n/a	N	0	01	792	373	59.9	2.10	2.74	19060	688	n/a	3593	792	n/a	115	792	n/a	201	792	n/a	
3	2944	n/a	0	0	n/a	N	0	11	1816	1485	218	5.43	9.62	35224	1716	n/a	5892	1808	n/a	150	1816	n/a	324	1736	n/a	
4	3170	n/a	0	0	n/a	N	0	00	79	39.1	2.79	0.20	0.49	26530	56	n/a	1886	76	n/a	116	76	n/a	323	76	n/a	
5	4431	n/a	0	0	n/a	N	0	11	1245	861	132	3.78	6.18	30809	1188	n/a	5460	1244	n/a	145	1244	n/a	347	1240	n/a	
6	6145	n/a	0	0	n/a	N	0	00	46	8.68	1.04	0.10	0.18	8722	0	n/a	1218	44	n/a	97	44	n/a	172	44	n/a	
7	7728	n/a	0	0	n/a	N	0	00	299	127	21.0	0.67	0.71	19537	208	n/a	4579	296	n/a	107	296	n/a	131	296	n/a	
8	7729	n/a	0	0	n/a	N	0	00	89	41.3	172	41.8	26.8	22916	64	n/a	65535	88	n/a	24727	88	n/a	15940	88	n/a	
9	8130	n/a	0	0	n/a	N	0	01	1214	668	137	3.63	5.34	42581	1040	n/a	8891	1212	n/a	183	1212	n/a	317	1212	n/a	
10	9410	n/a	0	0	n/a	N	0	00	235	132	183	2.06	1.45	45108	180	n/a	65535	232	n/a	748	232	n/a	512	232	n/a	
11	10501	n/a	0	0	n/a	N	0	11	1436	1060	176	4.45	7.28	29187	1352	n/a	9010	1436	n/a	151	1436	n/a	388	1436	n/a	
12	11093	n/a	0	0	n/a	N	0	01	728	554	95.4	2.36	4.22	54389	612	n/a	10767	728	n/a	231	728	n/a	634	728	n/a	
13	11684	n/a	0	0	n/a	N	0	00	314	85.9	6.61	0.67	0.61	19408	72	n/a	1703	312	n/a	96	312	n/a	129	312	n/a	
14	12084	n/a	0	0	n/a	N	0	00	432	90.3	7.77	0.93	0.79	8130	0	n/a	980	420	n/a	90	432	n/a	86	432	n/a	
