Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	94	n/a	0	0	n/a	N	0	00	101	42.9	196	40.3	96.6	20603	72	n/a	65535	100	n/a	20490	100	n/a	48984	100	n/a	
2	6220	n/a	0	0	n/a	N	0	00	107	52.1	205	48.4	117	24626	76	n/a	65535	104	n/a	23769	104	n/a	57418	104	n/a	
3	7070	n/a	0	0	n/a	N	0	00	99	40.8	188	37.3	89.5	19678	68	n/a	65535	96	n/a	18965	96	n/a	45331	96	n/a	
4	8642	n/a	0	0	n/a	N	0	00	74	11.8	0.41	0.13	0.65	6338	0	n/a	220	72	n/a	72	72	n/a	392	72	n/a	
5	13352	n/a	0	0	n/a	N	0	01	1006	857	28.4	3.04	372	43119	956	n/a	2224	1004	n/a	182	1004	n/a	30974	1004	n/a	
6	20332	n/a	0	0	n/a	N	0	01	572	169	3.89	1.18	80.1	12040	280	n/a	328	572	n/a	90	572	n/a	6678	572	n/a	
7	20439	n/a	0	0	n/a	N	0	00	329	126	2.50	0.66	49.5	16246	288	n/a	520	328	n/a	101	328	n/a	9349	328	n/a	
8	20513	n/a	0	0	n/a	N	0	00	73	14.5	0.24	0.10	0.37	8589	0	n/a	169	72	n/a	58	72	n/a	280	72	n/a	
9	21139	n/a	0	0	n/a	N	0	00	59	9.20	0.18	0.08	1.13	6999	0	n/a	161	56	n/a	62	56	n/a	868	56	n/a	
10	21139	n/a	0	0	n/a	N	0	00	212	85.3	1.69	0.43	12.5	34827	136	n/a	871	212	n/a	105	212	n/a	5507	212	n/a	
11	21390	n/a	0	0	n/a	N	0	00	478	222	6.74	1.11	153	37893	272	n/a	1433	476	n/a	131	476	n/a	31269	476	n/a	
12	21416	n/a	0	0	n/a	N	0	00	278	127	2.49	0.57	52.7	26999	176	n/a	551	276	n/a	87	276	n/a	13272	276	n/a	
13	21635	n/a	0	0	n/a	N	0	00	364	88.9	1.20	0.63	17.3	9680	0	n/a	170	364	n/a	73	364	n/a	2422	364	n/a	
14	22031	n/a	0	0	n/a	N	0	00	537	160	3.31	1.07	69.7	14330	248	n/a	359	536	n/a	84	536	n/a	6252	536	n/a	
15	22064	n/a	0	0	n/a	N	0	00	245	90.3	1.37	0.47	25.3	23411	132	n/a	415	244	n/a	88	244	n/a	7397	244	n/a	
16	22163	n/a	0	0	n/a	N	0	00	203	60.3	0.94	0.37	20.8	13983	116	n/a	282	200	n/a	74	200	n/a	5791	200	n/a	
17	22536	n/a	0	0	n/a	N	0	01	550	365	11.9	1.44	246	39271	516	n/a	1903	548	n/a	150	548	n/a	37657	548	n/a	
18	22796	n/a	0	0	n/a	N	0	01	665	226	5.47	1.40	106	13617	504	n/a	412	656	n/a	86	664	n/a	7100	664	n/a	
19	22953	n/a	0	0	n/a	N	0	01	1046	653	26.4	3.04	541	26147	976	n/a	1283	1044	n/a	123	1044	n/a	25667	1044	n/a	
20	22959	n/a	0	0	n/a	N	0	01	638	233	5.47	1.34	105	15658	476	n/a	510	624	n/a	96	636	n/a	8906	636	n/a	
21	23005	n/a	0	0	n/a	N	0	00	422	116	1.63	0.66	1.54	11570	152	n/a	208	420	n/a	75	420	n/a	195	416	n/a	
22	23023	n/a	0	0	n/a	N	0	00	472	224	6.48	1.01	143	35907	352	n/a	1430	472	n/a	133	472	n/a	32267	472	n/a	
23	23079	n/a	0	0	n/a	N	0	00	90	45.0	170	48.2	114	24708	68	n/a	65535	88	n/a	29075	88	n/a	65535	88	n/a	
24	23311	n/a	0	0	n/a	N	0	00	161	42.2	0.70	0.32	13.5	11988	56	n/a	225	160	n/a	81	160	n/a	3958	160	n/a	
25	23535	n/a	0	0	n/a	N	0	00	234	125	2.43	0.53	46.9	28155	172	n/a	596	232	n/a	96	232	n/a	11630	232	n/a	
26	23645	n/a	0	0	n/a	N	0	00	120	59.3	0.89	0.24	18.3	23515	88	n/a	367	120	n/a	81	120	n/a	7272	120	n/a	
27	23667	n/a	0	0	n/a	N	0	01	838	333	10.2	1.84	205	16055	656	n/a	620	824	n/a	99	836	n/a	11892	836	n/a	
28	23847	n/a	0	0	n/a	N	0	01	535	220	6.22	1.21	145	30037	376	n/a	1109	532	n/a	128	532	n/a	26429	532	n/a	
29	23882	n/a	0	0	n/a	N	0	00	231	106	1.56	0.52	1.88	20975	200	n/a	362	228	n/a	105	228	n/a	395	228	n/a	
30	23925	n/a	0	0	n/a	N	0	00	267	127	2.44	0.60	52.9	25310	240	n/a	516	264	n/a	100	264	n/a	12352	264	n/a	
31	24041	n/a	0	0	n/a	N	0	00	62	11.3	0.24	0.12	0.37	8454	0	n/a	192	60	n/a	83	60	n/a	276	60	n/a	
32	24147	n/a	0	0	n/a	N	0	00	147	70.8	1.43	0.29	18.9	21035	116	n/a	489	144	n/a	88	144	n/a	6512	144	n/a	
33	24148	n/a	0	0	n/a	N	0	00	91	43.6	0.94	0.16	6.00	24923	64	n/a	538	88	n/a	88	88	n/a	3521	88	n/a	
34	24148	n/a	0	0	n/a	N	0	00	188	73.3	1.91	0.40	28.9	20120	116	n/a	664	188	n/a	97	188	n/a	9180	188	n/a	
35	24148	n/a	0	0	n/a	N	0	00	99	38.2	0.72	0.24	10.7	18326	64	n/a	375	96	n/a	99	96	n/a	5829	96	n/a	
36	24152	n/a	0	0	n/a	N	0	00	130	60.1	1.14	0.31	4.41	27557	76	n/a	526	128	n/a	102	128	n/a	2219	128	n/a	
37	24153	n/a	0	0	n/a	N	0	00	110	50.4	1.02	0.25	12.9	22896	84	n/a	477	108	n/a	90	108	n/a	7800	108	n/a	
38	24153	n/a	0	0	n/a	N	0	00	91	35.9	0.85	0.18	13.9	19839	60	n/a	560	88	n/a	90	88	n/a	8400	88	n/a	
39	24154	n/a	0	0	n/a	N	0	00	86	34.4	0.82	0.19	13.6	19744	56	n/a	551	84	n/a	98	84	n/a	8639	84	n/a	
40	24158	n/a	0	0	n/a	N	0	01	668	409	15.1	1.92	328	50236	552	n/a	2554	656	n/a	186	668	n/a	49334	668	n/a	
41	24167	n/a	0	0	n/a	N	0	00	58	16.1	0.11	0.09	0.23	13733	24	n/a	112	56	n/a	64	56	n/a	221	56	n/a	
42	24172	n/a	0	0	n/a	N	0	00	259	64.1	1.28	0.55	18.6	12005	36	n/a	229	256	n/a	87	256	n/a	4315	256	n/a	
43	24230	n/a	0	0	n/a	N	0	00	82	22.1	0.50	0.16	6.93	14763	28	n/a	399	80	n/a	86	80	n/a	5525	80	n/a	
44	24293	n/a	0	0	n/a	N	0	01	533	607	23.7	2.01	585	60325	504	n/a	2762	532	n/a	223	532	n/a	65083	532	n/a	
45	24306	n/a	0	0	n/a	N	0	00	249	107	2.17	0.56	36.6	24947	208	n/a	565	248	n/a	93	248	n/a	8507	248	n/a	
46	24329	n/a	0	0	n/a	N	0	00	439	243	7.02	1.06	140	37902	376	n/a	1750	436	n/a	147	436	n/a	32120	436	n/a	
47	24361	n/a	0	0	n/a	N	0	00	322	76.6	1.18	0.57	18.0	9868	0	n/a	184	320	n/a	76	320	n/a	2844	320	n/a	
48	24371	n/a	0	0	n/a	N	0	01	608	173	3.82	1.13	77.1	12497	268	n/a	337	608	n/a	94	608	n/a	6526	608	n/a	
49	24406	n/a	0	0	n/a	N	0	11	1770	1502	62.7	6.10	1335	35067	1696	n/a	1939	1756	n/a	161	1768	n/a	46795	1768	n/a	
50	24467	n/a	0	0	n/a	N	0	00	226	51.1	0.86	0.34	16.5	10187	20	n/a	205	224	n/a	68	224	n/a	3708	224	n/a	
51	24536	n/a	0	0	n/a	N	0	00	320	80.6	1.35	0.60	17.8	10410	32	n/a	292	320	n/a	79	320	n/a	3572	320	n/a	
52	24561	n/a	0	0	n/a	N	0	00	381	111	2.11	0.72	37.0	11856	156	n/a	266	380	n/a	78	380	n/a	4559	380	n/a	
53	24603	n/a	0	0	n/a	N	0	00	100	24.9	0.44	0.18	0.51	10999	36	n/a	223	100	n/a	74	100	n/a	229	100	n/a	
54	24607	n/a	0	0	n/a	N	0	01	939	395	11.4	2.02	405	23750	676	n/a	701	916	n/a	95	936	n/a	27273	936	n/a	
55	24682	n/a	0	0	n/a	N	0	00	65	23.3	0.59	0.12	5.56	18550	40	n/a	504	64	n/a	82	64	n/a	4539	64	n/a	
56	24712	n/a	0	0	n/a	N	0	01	439	329	14.3	1.45	292	41696	412	n/a	2437	436	n/a	188	436	n/a	51810	436	n/a	
57	24926	n/a	0	0	n/a	N	0	01	495	293	10.6	1.29	231	36336	364	n/a	1813	492	n/a	159	492	n/a	37571	492	n/a	
58	25048	n/a	0	0	n/a	N	0	00	281	78.4	1.08	0.52	15.5	15158	60	n/a	224	280	n/a	75	280	n/a	3156	280	n/a	
59	25059	n/a	0	0	n/a	N	0	00	252	102	1.56	0.44	26.7	33291	120	n/a	496	252	n/a	77	252	n/a	9791	252	n/a	
60	25127	n/a	0	0	n/a	N	0	01	659	262	9.38	1.62	219	20164	516	n/a	1017	656	n/a	109	656	n/a	25517	656	n/a	
61	25133	n/a	0	0	n/a	N	0	00	165	69.1	1.16	0.33	16.1	17894	132	n/a	347	164	n/a	84	164	n/a	5478	164	n/a	
62	25260	n/a	0	0	n/a	N	0	00	238	94.4	1.32	0.45	31.4	22559	136	n/a	398	236	n/a	83	236	n/a	9427	236	n/a	
63	25272	n/a	0	0	n/a	N	0	00	474	133	2.05	0.92	27.8	10727	160	n/a	267	472	n/a	79	472	n/a	2836	472	n/a	
64	25351	n/a	0	0	n/a	N	0	01	898	462	16.1	2.13	332	22418	768	n/a	989	896	n/a	106	896	n/a	18280	896	n/a	
65	25372	n/a	0	0	n/a	N	0	00	435	204	4.27	0.81	98.5	29022	332	n/a	819	432	n/a	109	432	n/a	17467	432	n/a	
66	25639	n/a	0	0	n/a	N	0	01	622	191	4.66	1.16	89.6	14334	376	n/a	444	620	n/a	83	620	n/a	9843	620	n/a	
67	25742	n/a	0	0	n/a	N	0	00	69	8.78	0.22	0.09	0.07	5044	0	n/a	152	68	n/a	57	68	n/a	62	68	n/a	
68	25789	n/a	0	0	n/a	N	0	00	92	25.2	0.31	0.17	1.20	12020	48	n/a	183	92	n/a	79	92	n/a	729	92	n/a	
69	25789	n/a	0	0	n/a	N	0	01	665	256	3.84	1.30	46.3	18763	528	n/a	323	664	n/a	79	664	n/a	5145	664	n/a	
70	25888	n/a	0	0	n/a	N	0	00	248	150	2.60	0.58	62.9	31812	196	n/a	666	248	n/a	109	248	n/a	13585	248	n/a	
71	25983	n/a	0	0	n/a	N	0	01	794	328	10.8	1.79	226	17547	664	n/a	669	792	n/a	94	792	n/a	14058	792	n/a	
72	26023	n/a	0	0	n/a	N	0	00	276	92.4	1.30	0.50	22.7	20729	108	n/a	344	276	n/a	86	276	n/a	7320	276	n/a	
73	26131	n/a	0	0	n/a	N	0	01	781	330	10.1	1.75	204	17934	632	n/a	622	780	n/a	99	780	n/a	12839	780	n/a	
74	26140	n/a	0	0	n/a	N	0	00	243	92.5	1.64	0.47	25.4	16656	188	n/a	401	240	n/a	82	240	n/a	4899	240	n/a	
75	26185	n/a	0	0	n/a	N	0	00	335	224	4.52	0.81	135	34481	288	n/a	914	332	n/a	121	332	n/a	25456	332	n/a	
76	26254	n/a	0	0	n/a	N	0	01	745	328	6.89	1.50	112	18179	612	n/a	486	744	n/a	92	744	n/a	6906	744	n/a	
77	26254	n/a	0	0	n/a	N	0	01	566	243	9.36	1.46	200	44785	204	n/a	1821	564	n/a	161	564	n/a	38916	564	n/a	
78	26337	n/a	0	0	n/a	N	0	01	685	245	6.06	1.47	142	16774	464	n/a	508	684	n/a	90	684	n/a	12064	684	n/a	
79	26540	n/a	0	0	n/a	N	0	00	325	92.1	1.87	0.75	29.4	11627	148	n/a	310	324	n/a	96	324	n/a	4580	324	n/a	
80	26550	n/a	0	0	n/a	N	0	01	645	246	6.56	1.25	128	15576	504	n/a	524	644	n/a	95	644	n/a	10729	644	n/a	
