Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	194	n/a	0	0	n/a	N	0	00	456	116	3.86	0.86	0.76	10523	64	n/a	492	440	n/a	76	456	n/a	83	456	n/a	
2	215	n/a	0	0	n/a	N	0	00	124	16.8	0.41	0.24	0.18	5676	0	n/a	229	112	n/a	77	124	n/a	71	124	n/a	
3	216	n/a	0	0	n/a	N	0	00	475	189	4.09	0.89	0.77	25401	312	n/a	654	464	n/a	81	472	n/a	95	472	n/a	
4	367	n/a	0	0	n/a	N	0	00	133	32.2	2.69	0.28	0.69	10300	12	n/a	952	132	n/a	91	132	n/a	284	132	n/a	
5	457	n/a	0	0	n/a	N	0	00	74	8.66	0.29	0.13	0.11	6219	0	n/a	225	72	n/a	73	72	n/a	68	72	n/a	
6	460	n/a	0	0	n/a	N	0	01	730	290	13.6	1.49	1.59	16672	684	n/a	929	728	n/a	88	728	n/a	117	728	n/a	
7	481	n/a	0	0	n/a	N	0	01	592	172	6.14	1.11	1.01	12315	288	n/a	714	580	n/a	82	592	n/a	87	592	n/a	
8	511	n/a	0	0	n/a	N	0	11	1456	1369	114	3.89	8.10	56384	1408	n/a	7170	1456	n/a	172	1456	n/a	499	1456	n/a	
9	574	n/a	0	0	n/a	N	0	00	48	6.17	1.02	0.08	0.14	5384	0	n/a	1025	48	n/a	72	48	n/a	135	48	n/a	
10	647	n/a	0	0	n/a	N	0	00	59	7.91	0.27	0.10	0.07	5577	0	n/a	238	56	n/a	68	56	n/a	62	56	n/a	
11	849	n/a	0	0	n/a	N	0	01	1101	407	18.7	2.09	1.99	15093	884	n/a	911	1092	n/a	82	1100	n/a	104	1100	n/a	
12	872	n/a	0	0	n/a	N	0	01	741	237	10.4	1.50	1.92	12526	492	n/a	755	740	n/a	89	740	n/a	146	740	n/a	
13	920	n/a	0	0	n/a	N	0	01	829	260	10.0	1.51	1.42	12921	528	n/a	704	828	n/a	83	828	n/a	92	828	n/a	
14	931	n/a	0	0	n/a	N	0	01	651	431	21.6	1.55	2.49	39524	488	n/a	2642	644	n/a	116	648	n/a	297	648	n/a	
15	966	n/a	0	0	n/a	N	0	00	171	24.7	0.84	0.33	0.25	6828	0	n/a	273	168	n/a	76	168	n/a	63	168	n/a	
16	1008	n/a	0	0	n/a	N	0	01	910	803	81.2	2.68	5.83	65535	680	n/a	6105	908	n/a	168	908	n/a	486	908	n/a	
17	1230	n/a	0	0	n/a	N	0	00	312	141	5.00	0.62	0.66	28594	208	n/a	1277	312	n/a	84	312	n/a	141	312	n/a	
18	1287	n/a	0	0	n/a	N	0	00	70	11.2	0.43	0.12	0.08	6959	0	n/a	366	68	n/a	73	68	n/a	67	68	n/a	
19	1340	n/a	0	0	n/a	N	0	11	1755	1462	109	4.43	8.39	33741	1652	n/a	3108	1744	n/a	115	1752	n/a	281	1728	n/a	
20	1372	n/a	0	0	n/a	N	0	00	340	146	5.05	0.70	0.75	28502	224	n/a	895	336	n/a	86	340	n/a	138	340	n/a	
21	1451	n/a	0	0	n/a	N	0	00	52	7.77	0.09	0.09	0.06	5922	0	n/a	160	44	n/a	67	52	n/a	49	52	n/a	
