Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	45	n/a	0	0	n/a	N	0	1	2113	1101	3.42	2.61	7.96	24461	1912	n/a	103	2088	n/a	72	2112	n/a	313	1948	n/a	
2	48	n/a	0	0	n/a	N	0	0	926	439	1.45	1.07	3.80	47237	604	n/a	151	924	n/a	85	924	n/a	542	924	n/a	
3	68	n/a	0	0	n/a	N	0	1	1392	682	2.03	1.61	4.38	21733	1152	n/a	80	1392	n/a	60	1392	n/a	233	1344	n/a	
4	93	n/a	0	0	n/a	N	0	1	1517	857	2.52	1.85	5.94	23484	1376	n/a	95	1516	n/a	66	1516	n/a	332	1500	n/a	
5	99	n/a	0	0	n/a	N	0	1	1666	1049	3.18	2.19	7.60	65535	1484	n/a	155	1664	n/a	89	1664	n/a	499	1664	n/a	
6	105	n/a	0	0	n/a	N	0	1	1041	394	1.29	1.11	1.94	49670	572	n/a	119	1040	n/a	68	1040	n/a	259	1040	n/a	
7	115	n/a	0	0	n/a	N	0	1	1136	846	2.30	1.40	5.51	37716	940	n/a	175	1112	n/a	88	1136	n/a	452	1076	n/a	
8	148	n/a	0	0	n/a	N	0	0	59	8.55	0.04	0.04	0.10	6042	0	n/a	37	56	n/a	39	56	n/a	81	56	n/a	
9	158	n/a	0	0	n/a	N	0	0	722	424	0.97	0.73	1.99	55877	556	n/a	106	716	n/a	61	720	n/a	281	704	n/a	
10	168	n/a	0	0	n/a	N	0	0	333	115	0.34	0.34	0.62	20916	160	n/a	61	332	n/a	49	332	n/a	122	332	n/a	
11	187	n/a	0	0	n/a	N	0	0	119	15.1	0.10	0.10	0.16	5256	0	n/a	42	116	n/a	40	116	n/a	62	116	n/a	
12	187	n/a	0	0	n/a	N	0	1	982	878	2.54	1.46	6.97	65535	920	n/a	192	980	n/a	91	976	n/a	818	980	n/a	
13	202	n/a	0	0	n/a	N	0	1	1160	494	1.41	1.14	2.60	18485	968	n/a	79	1160	n/a	57	1160	n/a	177	1140	n/a	
14	219	n/a	0	0	n/a	N	0	0	81	10.5	0.11	0.09	0.26	5235	0	n/a	65	80	n/a	48	80	n/a	140	80	n/a	
15	223	n/a	0	0	n/a	N	0	0	366	120	0.37	0.34	0.66	16143	172	n/a	64	364	n/a	50	364	n/a	162	364	n/a	
16	224	n/a	0	0	n/a	N	0	0	134	32.6	0.20	0.17	0.79	12290	56	n/a	71	132	n/a	60	132	n/a	315	132	n/a	
17	231	n/a	0	0	n/a	N	0	0	135	47.7	0.21	0.17	0.71	15849	88	n/a	76	132	n/a	62	132	n/a	252	132	n/a	
18	235	n/a	0	0	n/a	N	0	0	58	8.52	0.06	0.07	0.07	6378	0	n/a	50	56	n/a	52	56	n/a	62	56	n/a	
19	238	n/a	0	0	n/a	N	0	0	138	59.2	0.18	0.14	0.26	19342	104	n/a	62	136	n/a	51	136	n/a	93	136	n/a	
20	239	n/a	0	0	n/a	N	0	1	1325	974	2.85	1.77	6.61	43823	1180	n/a	221	1324	n/a	80	1324	n/a	588	1256	n/a	
21	267	n/a	0	0	n/a	N	0	0	810	271	0.93	0.88	1.43	14210	540	n/a	65	808	n/a	58	808	n/a	116	808	n/a	
22	286	n/a	0	0	n/a	N	0	0	617	317	0.94	0.71	2.88	32815	516	n/a	82	616	n/a	51	616	n/a	312	616	n/a	
23	291	n/a	0	0	n/a	N	0	0	57	10.6	0.02	0.02	0.05	7802	0	n/a	23	48	n/a	22	56	n/a	38	56	n/a	
24	329	n/a	0	0	n/a	N	0	1	975	424	1.26	1.08	2.37	18502	776	n/a	83	964	n/a	68	968	n/a	147	964	n/a	
25	342	n/a	0	0	n/a	N	0	0	123	45.0	0.16	0.13	0.28	16090	84	n/a	64	120	n/a	52	120	n/a	114	120	n/a	
26	350	n/a	0	0	n/a	N	0	0	56	10.1	0.11	0.08	0.39	7690	0	n/a	91	56	n/a	64	56	n/a	330	56	n/a	
27	356	n/a	0	0	n/a	N	0	1	965	1064	2.52	1.43	8.46	50017	908	n/a	179	964	n/a	103	964	n/a	587	956	n/a	
28	366	n/a	0	0	n/a	N	0	1	1308	1032	2.59	1.68	6.31	45874	1256	n/a	136	1300	n/a	77	1308	n/a	435	1276	n/a	
29	374	n/a	0	0	n/a	N	0	1	1710	1652	4.96	2.87	25.1	51593	1672	n/a	192	1696	n/a	105	1708	n/a	1373	1672	n/a	
30	421	n/a	0	0	n/a	N	0	1	1947	1943	5.28	2.81	12.9	61946	1896	n/a	262	1916	n/a	97	1944	n/a	599	1808	n/a	
31	422	n/a	0	0	n/a	N	0	1	1201	872	2.05	1.51	5.66	48362	996	n/a	196	1196	n/a	103	1196	n/a	702	1012	n/a	
32	422	n/a	0	0	n/a	N	0	1	1653	1009	2.54	1.87	5.13	25469	1460	n/a	114	1644	n/a	60	1652	n/a	269	1532	n/a	
33	445	n/a	0	0	n/a	N	0	0	691	362	0.91	0.69	1.64	40998	568	n/a	107	688	n/a	63	684	n/a	231	676	n/a	
34	456	n/a	0	0	n/a	N	0	1	1261	688	1.91	1.44	4.03	22978	1136	n/a	98	1232	n/a	73	1252	n/a	231	1200	n/a	
35	462	n/a	0	0	n/a	N	0	0	70	13.2	0.06	0.06	0.10	8716	0	n/a	43	68	n/a	41	68	n/a	63	68	n/a	
36	475	n/a	0	0	n/a	N	0	0	685	629	1.58	1.02	4.11	45244	620	n/a	114	684	n/a	70	684	n/a	303	676	n/a	
37	514	n/a	0	0	n/a	N	0	1	2316	1229	3.57	2.71	7.46	25373	2136	n/a	91	2316	n/a	61	2316	n/a	309	2316	n/a	
38	539	n/a	0	0	n/a	N	0	1	670	786	2.80	1.21	7.32	56631	628	n/a	263	668	n/a	102	668	n/a	728	668	n/a	
39	542	n/a	0	0	n/a	N	0	0	923	418	1.25	1.09	2.18	30987	752	n/a	71	920	n/a	63	920	n/a	142	900	n/a	
40	554	n/a	0	0	n/a	N	0	0	424	232	0.67	0.49	1.38	21112	384	n/a	89	424	n/a	57	424	n/a	142	424	n/a	
41	571	n/a	0	0	n/a	N	0	0	490	120	0.60	0.55	0.95	9820	0	n/a	62	488	n/a	54	488	n/a	93	488	n/a	
42	623	n/a	0	0	n/a	N	0	0	67	11.9	0.07	0.08	0.42	7727	0	n/a	51	64	n/a	62	64	n/a	286	64	n/a	
43	651	n/a	0	0	n/a	N	0	1	917	638	1.72	1.09	3.80	49775	624	n/a	157	916	n/a	75	916	n/a	454	888	n/a	
44	680	n/a	0	0	n/a	N	0	1	1479	776	2.22	1.72	4.74	26502	1288	n/a	80	1476	n/a	61	1476	n/a	196	1468	n/a	
45	728	n/a	0	0	n/a	N	0	1	1161	712	2.10	1.45	5.11	64677	892	n/a	162	1160	n/a	81	1160	n/a	511	1160	n/a	
46	731	n/a	0	0	n/a	N	0	1	903	496	1.73	1.21	4.69	29873	712	n/a	158	900	n/a	83	900	n/a	587	892	n/a	
47	733	n/a	0	0	n/a	N	0	0	235	73.2	0.29	0.25	0.45	18265	96	n/a	58	232	n/a	49	232	n/a	126	232	n/a	
48	754	n/a	0	0	n/a	N	0	0	284	143	0.32	0.27	0.61	23595	252	n/a	51	284	n/a	45	284	n/a	118	284	n/a	
49	788	n/a	0	0	n/a	N	0	0	85	14.9	0.03	0.04	0.04	8430	0	n/a	31	84	n/a	29	84	n/a	35	84	n/a	
50	791	n/a	0	0	n/a	N	0	1	1020	1095	2.45	1.39	5.82	65535	908	n/a	173	1016	n/a	78	1020	n/a	421	968	n/a	
51	799	n/a	0	0	n/a	N	0	1	1755	1107	3.13	2.06	6.52	26374	1628	n/a	103	1752	n/a	59	1752	n/a	289	1732	n/a	
52	805	n/a	0	0	n/a	N	0	1	1240	957	2.52	1.54	5.84	58032	1104	n/a	154	1144	n/a	74	1232	n/a	349	1156	n/a	
53	822	n/a	0	0	n/a	N	0	0	823	223	0.86	0.87	1.30	11250	224	n/a	55	820	n/a	52	820	n/a	98	820	n/a	
54	826	n/a	0	0	n/a	N	0	1	1050	384	1.48	1.21	3.74	13950	840	n/a	76	1048	n/a	58	1048	n/a	187	1048	n/a	
55	841	n/a	0	0	n/a	N	0	1	1053	542	1.63	1.27	4.19	28126	880	n/a	82	1052	n/a	56	1052	n/a	305	1052	n/a	
56	864	n/a	0	0	n/a	N	0	0	562	475	1.06	0.68	2.99	49990	452	n/a	113	560	n/a	60	560	n/a	385	560	n/a	
57	883	n/a	0	0	n/a	N	0	1	2170	1168	3.74	2.71	9.23	34553	1620	n/a	122	2164	n/a	82	2168	n/a	456	2068	n/a	
58	884	n/a	0	0	n/a	N	0	1	1584	1043	2.79	1.96	6.45	25892	1520	n/a	103	1580	n/a	80	1584	n/a	292	1560	n/a	
59	915	n/a	0	0	n/a	N	0	0	181	98.9	0.21	0.18	0.49	29435	148	n/a	62	180	n/a	45	180	n/a	155	180	n/a	
60	918	n/a	0	0	n/a	N	0	1	1429	1069	2.89	1.84	8.56	40764	1372	n/a	116	1412	n/a	68	1424	n/a	474	1376	n/a	
61	927	n/a	0	0	n/a	N	0	1	970	1001	2.41	1.41	6.90	60288	788	n/a	183	968	n/a	83	968	n/a	617	876	n/a	
62	965	n/a	0	0	n/a	N	0	0	694	589	1.48	0.96	4.72	62977	516	n/a	167	688	n/a	85	692	n/a	623	680	n/a	
63	970	n/a	0	0	n/a	N	0	1	1120	1135	3.04	1.77	8.19	53848	1048	n/a	226	1120	n/a	110	1120	n/a	661	1080	n/a	
64	998	n/a	0	0	n/a	N	0	0	916	353	1.38	1.05	3.90	22896	628	n/a	86	916	n/a	62	916	n/a	330	916	n/a	
65	1006	n/a	0	0	n/a	N	0	1	1712	1202	3.78	2.43	10.1	65535	1600	n/a	253	1708	n/a	119	1712	n/a	932	1676	n/a	
66	1029	n/a	0	0	n/a	N	0	1	1718	1019	2.87	1.98	6.41	25215	1540	n/a	102	1712	n/a	64	1716	n/a	319	1624	n/a	
67	1038	n/a	0	0	n/a	N	0	0	766	362	1.05	0.80	2.01	25491	736	n/a	72	764	n/a	53	764	n/a	136	764	n/a	
