Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
12	2492	n/a	0	0	n/a	N	0	1010	1485	1411	469	8.35	1.91	65535	1456	n/a	27545	1484	n/a	525	1472	n/a	88	1484	n/a	
13	3130	n/a	0	0	n/a	N	0	1010	1277	801	415	6.98	1.49	32594	1212	n/a	17697	1276	n/a	323	1252	n/a	57	1276	n/a	
20	4376	n/a	0	0	n/a	N	0	1010	1139	596	264	4.72	1.26	50357	952	n/a	25937	1136	n/a	429	1132	n/a	64	1136	n/a	
33	8344	n/a	0	0	n/a	N	0	1010	1514	931	420	7.06	1.72	27167	1328	n/a	15782	1512	n/a	258	1472	n/a	58	1512	n/a	
34	8706	n/a	0	0	n/a	N	0	1010	1113	613	340	5.81	1.25	50647	932	n/a	35511	1112	n/a	584	1088	n/a	75	1112	n/a	
39	9485	n/a	0	0	n/a	N	0	0010	876	658	314	5.54	1.08	33395	832	n/a	29749	876	n/a	478	876	n/a	60	876	n/a	
45	11737	n/a	0	0	n/a	N	0	1010	2030	1062	455	7.75	2.22	20854	1832	n/a	16968	2028	n/a	248	1984	n/a	73	2028	n/a	
46	11741	n/a	0	0	n/a	N	0	1010	1395	1084	424	7.28	1.61	48630	1356	n/a	23292	1392	n/a	416	1384	n/a	62	1392	n/a	
47	11754	n/a	0	0	n/a	N	0	0010	2700	3146	614	11.5	3.64	50241	2628	n/a	11196	2700	n/a	248	2604	n/a	74	2700	n/a	
57	13553	n/a	0	0	n/a	N	0	1010	2008	1699	394	7.36	2.41	33157	1964	n/a	10626	2008	n/a	198	1972	n/a	67	2008	n/a	
58	13749	n/a	0	0	n/a	N	0	0010	1036	541	234	4.32	1.13	26594	1008	n/a	12397	1036	n/a	233	1036	n/a	65	1036	n/a	
78	17142	n/a	0	0	n/a	N	0	1010	1178	599	263	4.73	1.22	20279	1000	n/a	12032	1176	n/a	231	1168	n/a	55	1176	n/a	
82	17827	n/a	0	0	n/a	N	0	1010	2069	1529	430	7.87	2.42	30844	1976	n/a	13296	2064	n/a	253	2028	n/a	61	2068	n/a	
84	19170	n/a	0	0	n/a	N	0	1010	1293	668	289	5.27	1.37	20423	1168	n/a	13508	1292	n/a	243	1272	n/a	57	1292	n/a	
86	19282	n/a	0	0	n/a	N	0	0010	1067	443	242	4.49	1.22	54950	336	n/a	26970	1064	n/a	481	1020	n/a	57	1064	n/a	
92	21017	n/a	0	0	n/a	N	0	1010	1228	991	411	7.36	1.64	65535	1156	n/a	34817	1228	n/a	631	1184	n/a	82	1228	n/a	
