Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
5	453	n/a	0	0	n/a	N	0	1010	1258	837	12.1	1.54	1.30	38412	948	n/a	715	1216	n/a	72	1256	n/a	57	1256	n/a	
19	6266	n/a	0	0	n/a	N	0	1010	2128	2181	112	4.56	2.59	39928	2096	n/a	2423	2112	n/a	113	2056	n/a	70	2128	n/a	
22	6526	n/a	0	0	n/a	N	0	1010	1254	1253	465	8.20	1.65	63654	1088	n/a	34605	1248	n/a	631	1188	n/a	99	1252	n/a	
46	9153	n/a	0	0	n/a	N	0	1010	2498	2886	278	12.6	5.55	51056	2444	n/a	6671	2484	n/a	393	2452	n/a	152	2484	n/a	
48	9437	n/a	0	0	n/a	N	0	1010	2039	1264	58.5	3.19	2.16	26010	1872	n/a	1542	1960	n/a	85	2036	n/a	57	2036	n/a	
65	10750	n/a	0	0	n/a	N	0	0010	1105	536	19.8	1.56	1.10	21059	1000	n/a	905	1104	n/a	73	1104	n/a	57	1104	n/a	
74	11199	n/a	0	0	n/a	N	0	1010	2554	2669	160	5.76	3.08	40386	2492	n/a	3063	2544	n/a	118	2528	n/a	72	2552	n/a	
83	12202	n/a	0	0	n/a	N	0	0011	3345	3990	259	8.49	4.52	50729	3200	n/a	4002	3324	n/a	142	3296	n/a	85	3340	n/a	
85	12381	n/a	0	0	n/a	N	0	1010	1451	952	32.7	2.10	1.45	27823	1272	n/a	1264	1416	n/a	72	1448	n/a	55	1448	n/a	
86	12459	n/a	0	0	n/a	N	0	1010	1611	2179	123	4.36	2.16	65535	1504	n/a	6716	1596	n/a	227	1584	n/a	74	1608	n/a	
96	12767	n/a	0	0	n/a	N	0	1010	2209	2025	106	4.36	2.51	37330	2068	n/a	2498	2164	n/a	112	2208	n/a	63	2208	n/a	
98	12848	n/a	0	0	n/a	N	0	1010	1121	849	27.6	1.84	1.23	40793	1044	n/a	2314	1112	n/a	102	1120	n/a	57	1120	n/a	
102	13276	n/a	0	0	n/a	N	0	0011	2960	3644	284	9.08	4.23	54778	2792	n/a	4504	2824	n/a	180	2704	n/a	85	2900	n/a	
113	13868	n/a	0	0	n/a	N	0	0010	1080	530	15.1	1.39	1.07	55088	708	n/a	1829	1044	n/a	99	1080	n/a	59	1080	n/a	
116	13943	n/a	0	0	n/a	N	0	1010	1174	750	24.5	1.75	1.28	28270	1072	n/a	1181	1168	n/a	81	1172	n/a	56	1172	n/a	
125	14683	n/a	0	0	n/a	N	0	0011	2941	3384	258	8.16	4.09	46195	2864	n/a	4674	2928	n/a	186	2856	n/a	81	2940	n/a	
135	15492	n/a	0	0	n/a	N	0	1010	1192	670	19.3	1.69	1.27	21758	1092	n/a	923	1156	n/a	74	1192	n/a	57	1192	n/a	
160	17275	n/a	0	0	n/a	N	0	1010	1110	648	21.4	1.67	1.19	24323	1028	n/a	1098	1108	n/a	83	1108	n/a	60	1108	n/a	
169	17859	n/a	0	0	n/a	N	0	1010	2354	2741	162	5.74	2.91	45364	2312	n/a	3574	2344	n/a	126	2352	n/a	68	2352	n/a	
172	18023	n/a	0	0	n/a	N	0	1010	1943	827	28.7	2.69	2.04	20492	1740	n/a	840	1940	n/a	71	1940	n/a	54	1940	n/a	
174	18045	n/a	0	0	n/a	N	0	1010	1851	1030	34.1	2.53	1.87	22813	1708	n/a	1020	1820	n/a	74	1848	n/a	57	1848	n/a	
175	18047	n/a	0	0	n/a	N	0	1010	2529	2837	191	6.40	3.35	54932	2340	n/a	3746	2416	n/a	164	2444	n/a	75	2528	n/a	
177	18109	n/a	0	0	n/a	N	0	1010	943	1037	46.9	2.09	1.17	65535	892	n/a	3464	940	n/a	131	940	n/a	73	940	n/a	
184	18767	n/a	0	0	n/a	N	0	0010	1080	484	13.8	1.39	1.05	17500	916	n/a	667	1072	n/a	63	1080	n/a	56	1080	n/a	
194	19125	n/a	0	0	n/a	N	0	0010	1104	528	268	4.83	1.24	20385	928	n/a	12310	1104	n/a	216	1104	n/a	64	1104	n/a	
199	19554	n/a	0	0	n/a	N	0	1010	1511	979	37.2	2.23	1.48	26276	1368	n/a	1323	1496	n/a	73	1508	n/a	53	1508	n/a	
202	19652	n/a	0	0	n/a	N	0	0011	3137	3457	278	9.03	4.51	50481	3004	n/a	4844	3128	n/a	172	3064	n/a	75	3136	n/a	
205	19832	n/a	0	0	n/a	N	0	0010	1106	542	12.1	1.38	1.06	20327	924	n/a	674	1052	n/a	62	1104	n/a	49	1104	n/a	
213	20130	n/a	0	0	n/a	N	0	1010	1373	578	17.1	1.62	1.30	17605	1064	n/a	686	1372	n/a	77	1372	n/a	61	1368	n/a	
220	20425	n/a	0	0	n/a	N	0	0011	3192	4064	314	10.3	4.90	51924	3068	n/a	4885	3180	n/a	179	3068	n/a	92	3192	n/a	
227	20697	n/a	0	0	n/a	N	0	1010	1054	1130	127	7.00	3.17	61888	1020	n/a	7813	1052	n/a	437	1048	n/a	177	1052	n/a	
244	21555	n/a	0	0	n/a	N	0	1010	1862	1692	85.4	3.86	2.18	37017	1780	n/a	2242	1860	n/a	115	1860	n/a	62	1860	n/a	
284	24255	n/a	0	0	n/a	N	0	0010	2742	3117	206	6.67	3.49	49046	2592	n/a	4000	2688	n/a	140	2668	n/a	73	2740	n/a	
287	24397	n/a	0	0	n/a	N	0	0011	3731	4469	346	10.5	5.24	51445	3404	n/a	4801	3412	n/a	191	3304	n/a	99	3724	n/a	
295	24677	n/a	0	0	n/a	N	0	1010	2217	1688	74.6	3.72	2.36	34185	2068	n/a	1943	2200	n/a	93	2216	n/a	69	2216	n/a	
309	25404	n/a	0	0	n/a	N	0	0010	2748	3198	210	6.98	3.70	46331	2656	n/a	4090	2740	n/a	125	2740	n/a	72	2748	n/a	
313	25439	n/a	0	0	n/a	N	0	0010	1068	400	10.6	1.31	1.01	15856	840	n/a	560	1060	n/a	67	1068	n/a	54	1068	n/a	
327	26104	n/a	0	0	n/a	N	0	0010	1119	549	13.7	1.40	1.08	20115	912	n/a	777	1020	n/a	73	1116	n/a	53	1116	n/a	
328	26163	n/a	0	0	n/a	N	0	0010	2687	3048	187	6.42	3.28	46278	2536	n/a	3304	2564	n/a	132	2544	n/a	69	2672	n/a	
339	26584	n/a	0	0	n/a	N	0	1010	1912	1665	81.4	3.59	2.08	34540	1788	n/a	2042	1860	n/a	101	1848	n/a	73	1900	n/a	
